Cluster,Organisation,Main Industry,Main Reason
2,Lashou.com,E-Commerce and Retail,Bankrupt
2,Lazada Group,E-Commerce and Retail,Bankrupt
2,LegalZoom,Education and EdTech,Bankrupt
2,Legendary Entertainment,Media and Entertainment,Bankrupt
2,Lemonade,Finance and FinTech,Bankrupt
0,Lending Club,Finance and FinTech,IPO
1,Letgo,E-Commerce and Retail,Acquired
2,Lexin,Finance and FinTech,Bankrupt
5,Li Auto,Automotive and Transportation,Bankrupt
4,Liepin,Software & Technology,Bankrupt
4,Light Years Beyond,Software & Technology,Bankrupt
5,Lilium,Automotive and Transportation,Bankrupt
0,LinkedIn,Software & Technology,IPO
2,Liquid Global,Finance and FinTech,Bankrupt
1,LivingSocial,E-Commerce and Retail,Acquired
4,Looker,Software & Technology,Bankrupt
0,Luckin Coffee,Food and Beverage,IPO
0,Lufax,Finance and FinTech,IPO
0,Lyft,Automotive and Transportation,IPO
1,Lynda,Education and EdTech,Acquired
2,Lytx,Education and EdTech,Bankrupt
5,Machine Zone,Automotive and Transportation,Bankrupt
2,Manbang Group,Media and Entertainment,Bankrupt
2,Mango TV,Media and Entertainment,Bankrupt
0,Maoyan,Media and Entertainment,IPO
4,MarkLogic,Software & Technology,Bankrupt
2,Marqeta,Finance and FinTech,Bankrupt
2,MDLIVE,Healthcare & BioTechnology,Bankrupt
4,Medallia,Software & Technology,Bankrupt
1,MedMen,Pharmaceutical,Acquired
0,Meitu,Software & Technology,IPO
0,Meituan,E-Commerce and Retail,IPO
5,Meituan Bike,Automotive and Transportation,Bankrupt
2,Meizu Software & Technology,E-Commerce and Retail,Bankrupt
0,Mercari,E-Commerce and Retail,IPO
4,Meta,Software & Technology,Bankrupt
2,MGI Tech,Healthcare & BioTechnology,Bankrupt
2,MiaSolé,Energy and CleanTech,Bankrupt
2,Microvast,Energy and CleanTech,Bankrupt
0,Missfresh,Food and Beverage,IPO
0,Mobileye,Automotive and Transportation,IPO
0,Moderna,Healthcare & BioTechnology,IPO
0,MOGU,Fashion and Beauty,IPO
2,Momentive,E-Commerce and Retail,Bankrupt
0,monday.com,E-Commerce and Retail,IPO
4,MongoDB,Software & Technology,Bankrupt
0,MuleSoft,Software & Technology,IPO
0,NantHealth,Healthcare & BioTechnology,IPO
2,nCino,Finance and FinTech,Bankrupt
2,NetEase Cloud Music,Media and Entertainment,Bankrupt
0,New Relic,Software & Technology,IPO
2,Nextdoor,Media and Entertainment,Bankrupt
2,Nextracker,Energy and CleanTech,Bankrupt
5,Nikola Motor Company,Automotive and Transportation,Bankrupt
5,NIO,Automotive and Transportation,Bankrupt
2,NJOY,Energy and CleanTech,Bankrupt
0,Nubank,Finance and FinTech,IPO
0,Nutanix,Software & Technology,IPO
2,Nuvei,Finance and FinTech,Bankrupt
0,Nykaa,Fashion and Beauty,IPO
2,Oatly,Food and Beverage,Bankrupt
2,Oddity,E-Commerce and Retail,Bankrupt
0,Okta,Software & Technology,IPO
0,One Medical,Healthcare & BioTechnology,IPO
2,One97 Communications,Finance and FinTech,Bankrupt
2,OneConnect,Finance and FinTech,Bankrupt
2,OneWeb,Media and Entertainment,Bankrupt
3,Opendoor,Real Estate and Property Management,Bankrupt
0,Oscar Health,Healthcare & BioTechnology,IPO
2,Outcome Health,Healthcare & BioTechnology,Bankrupt
4,OVHcloud,Software & Technology,Bankrupt
2,OVO,E-Commerce and Retail,Bankrupt
2,Oxford Nanopore Technologies,Healthcare & BioTechnology,Bankrupt
4,PagerDuty,Software & Technology,Bankrupt
1,Paidy,Finance and FinTech,Acquired
4,Palantir Technologies,Software & Technology,Bankrupt
2,Payoneer,Finance and FinTech,Bankrupt
2,PDD Holdings,E-Commerce and Retail,Bankrupt
0,Peloton,Healthcare & BioTechnology,IPO
4,Perimeter 81,Software & Technology,Bankrupt
2,Ping An Good Doctor,Healthcare & BioTechnology,Bankrupt
0,Pinterest,Media and Entertainment,IPO
0,Pivotal,Software & Technology,IPO
5,Planet,Automotive and Transportation,Bankrupt
2,Pluralsight,Education and EdTech,Bankrupt
5,Polestar,Automotive and Transportation,Bankrupt
0,PolicyBazaar,Finance and FinTech,IPO
2,Pop Mart,E-Commerce and Retail,Bankrupt
2,Poshmark,E-Commerce and Retail,Bankrupt
1,Postmates,Food and Beverage,Acquired
2,Prime Medicine,Healthcare & BioTechnology,Bankrupt
4,Procore,Software & Technology,Bankrupt
2,Proterra,Energy and CleanTech,Bankrupt
0,Pure Storage,Software & Technology,IPO
0,QingCloud,Software & Technology,IPO
4,Qualtrics,Software & Technology,Bankrupt
4,Quanergy Systems,Software & Technology,Bankrupt
2,QuantumScape,Energy and CleanTech,Bankrupt
2,Qudian,Finance and FinTech,Bankrupt
0,Quotient Software & Technology,Media and Entertainment,IPO
2,Qutoutiao,Media and Entertainment,Bankrupt
4,Razer,Software & Technology,Bankrupt
2,Recursion Pharmaceuticals,Healthcare & BioTechnology,Bankrupt
2,RELX Software & Technology,E-Commerce and Retail,Bankrupt
2,Remitly,Finance and FinTech,Bankrupt
2,Renaissance Learning,Education and EdTech,Bankrupt
0,Rent the Runway,E-Commerce and Retail,IPO
5,Riskified,Automotive and Transportation,Bankrupt
5,Rivian,Automotive and Transportation,Bankrupt
0,Robinhood,Finance and FinTech,IPO
2,Roblox,Media and Entertainment,Bankrupt
2,Rocket Internet,Finance and FinTech,Bankrupt
5,Rocket Lab,Automotive and Transportation,Bankrupt
0,Roivant Sciences,Healthcare & BioTechnology,Merger
5,Root Insurance,Automotive and Transportation,Bankrupt
4,Rubicon,Software & Technology,Bankrupt
2,Salesloft,E-Commerce and Retail,Bankrupt
0,Samsara,Software & Technology,IPO
2,Sana BioSoftware & Technology,Healthcare & BioTechnology,Bankrupt
2,Scopely,Media and Entertainment,Bankrupt
0,Sea,E-Commerce and Retail,IPO
4,Segment,Software & Technology,Bankrupt
4,SenseTime,Software & Technology,Bankrupt
4,SentinelOne,Software & Technology,Bankrupt
2,Shanghai ANE Logistics,E-Commerce and Retail,Bankrupt
1,Shape Security,Software & Technology,Acquired
2,Sharecare,Healthcare & BioTechnology,Bankrupt
1,Shazam Entertainment,Media and Entertainment,Acquired
1,ShopClues,E-Commerce and Retail,Acquired
0,Shopify,E-Commerce and Retail,IPO
1,Simplivity,Software & Technology,Acquired
1,Skyscanner,Automotive and Transportation,Acquired
0,Slack,Media and Entertainment,IPO
0,SmileDirectClub,Healthcare & BioTechnology,IPO
2,SMS Assist,E-Commerce and Retail,Bankrupt
0,Snap,Media and Entertainment,IPO
0,Snowflake,Software & Technology,IPO
5,Socar,Automotive and Transportation,Bankrupt
0,SoFi,Finance and FinTech,Merger
4,Sogou,Software & Technology,Bankrupt
2,Sonder,E-Commerce and Retail,Merger
2,SoundHound,Media and Entertainment,Bankrupt
2,Souq,E-Commerce and Retail,Bankrupt
2,SoYoung Software & Technology,Healthcare & BioTechnology,Bankrupt
0,Sportradar,Software & Technology,IPO
0,Spotify,Media and Entertainment,IPO
2,Sprinklr,Media and Entertainment,Bankrupt
0,Squarespace,Software & Technology,IPO
1,Stemcentrx,Healthcare & BioTechnology,Acquired
4,Sumo Logic,Software & Technology,Bankrupt
2,Suning Finance,Finance and FinTech,Bankrupt
0,Sunrun,Energy and CleanTech,IPO
2,Sweetgreen,Food and Beverage,Bankrupt
2,Taboola,Media and Entertainment,Bankrupt
0,Tencent Music Entertainment,Media and Entertainment,IPO
2,Ten-X,E-Commerce and Retail,Bankrupt
2,The Honest Company,E-Commerce and Retail,Bankrupt
2,The RealReal,E-Commerce and Retail,Bankrupt
0,THG,Fashion and Beauty,IPO
4,Thoughtworks,Software & Technology,Bankrupt
2,Tiger Brokers,Finance and FinTech,Bankrupt
2,TMON,E-Commerce and Retail,Bankrupt
0,Toast,Food and Beverage,IPO
0,TuSimple,Automotive and Transportation,IPO
0,Twilio,Software & Technology,IPO
0,Uber,Automotive and Transportation,IPO
5,Uber Advanced Technologies Group,Automotive and Transportation,Bankrupt
5,Uber China,Automotive and Transportation,Bankrupt
0,UCAR,Automotive and Transportation,IPO
0,UCloud Information Software & Technology,Software & Technology,IPO
2,Ucommune,E-Commerce and Retail,Merger
0,Udemy,Education and EdTech,IPO
0,UiPath,Software & Technology,IPO
4,Unity,Software & Technology,Bankrupt
0,Uxin,Automotive and Transportation,IPO
3,Vacasa,Real Estate and Property Management,Bankrupt
4,Veeam Software,Software & Technology,Bankrupt
5,Velodyne Lidar,Automotive and Transportation,Bankrupt
4,View,Software & Technology,Bankrupt
2,Vimeo,Media and Entertainment,Bankrupt
2,Vir BioSoftware & Technology,Healthcare & BioTechnology,Bankrupt
2,VK,Media and Entertainment,Bankrupt
1,Vlocity,Software & Technology,Acquired
0,Vonage,Software & Technology,IPO
5,Vroom,Automotive and Transportation,Bankrupt
4,VTEX,Software & Technology,Bankrupt
0,WalkMe,Education and EdTech,IPO
2,Wandoujia,Media and Entertainment,Bankrupt
2,Warby Parker,E-Commerce and Retail,Bankrupt
2,Waterdrop,Healthcare & BioTechnology,Bankrupt
0,Wayfair,E-Commerce and Retail,IPO
2,Weidai,Finance and FinTech,Bankrupt
2,Weilong Foods,Food and Beverage,Bankrupt
2,Weimob,E-Commerce and Retail,Bankrupt
2,WeMakePrice,Media and Entertainment,Bankrupt
3,WeWork,Real Estate and Property Management,Merger
1,WhatsApp,Media and Entertainment,Acquired
5,Wheels Up,Automotive and Transportation,Merger
