Cluster,Lead Investors Include,Country
1,"Abstract Ventures, Fasanara Capital",India
3,DisruptAD,United States
0,Fidelity,Canada
3,Generation Investment Management,United States
3,D1 Capital Partners,United States
0,Accel,Singapore
3,General Catalyst,United States
3,SoftBank Vision Fund,The Netherlands
3,SoftBank Vision Fund,United States
3,L Catterton,United States
3,"Allen & Company, L Catterton",United States
0,"Future Fund, Lauder Partners",United Kingdom
0,Kohlberg Kravis Roberts,France
3,Andreessen Horowitz,United States
1,Kora,India
5,Shinhan Financial Group,South Korea
1,"GIC, HeroMotoCorp",India
0,Shenzhen Capital Group,China
0,"Falcon House Partners, MDI Ventures",Indonesia
3,"Andreessen Horowitz, Kleiner Perkins",United States
0,Headline,Australia
0,Dawn Capital,Australia
6,General Atlantic,Germany
0,QJY Capital,China
3,FootPrint Coalition,United States
3,Stripe,United States
3,RedBird Capital Partners,United States
0,Global PayTech Ventures,United Kingdom
0,Spark Capital,United Kingdom
1,Partners Group,India
0,NIO,China
0,"Jun Lei, Xiaomi",China
0,Sequoia Capital China,China
1,"Peak XV Partners, QED Investors",India
1,Lightrock,India
3,"Shopify, Transpose Platform Management",United States
3,General Motors,United States
3,Francisco Partners,United States
3,Northwell Health,United States
0,Seven Seven Six,Canada
0,Accel,Australia
4,"Sofina, Temasek Holdings",India
3,Science,United States
3,"Eldridge Industries, JE Dunn Construction",United States
3,"Main Street Advisors, SC.Holdings",United States
0,Invus Opportunities,United Kingdom
3,SoftBank Vision Fund,United States
3,Santander US,United States
3,"Caspian VC Partners, DP World Group",United States
3,SoftBank Vision Fund,United States
3,"Brighton Park Capital, The Carlyle Group",United States
3,ServiceNow,United States
3,Kinnevik,United States
3,GS Growth,United States
0,GIC,Colombia
3,"Kleiner Perkins, Owl Ventures",United States
0,LVMH,United Kingdom
0,"IDG Capital, Sequoia Capital China, 5Y Capital, Capital Today, Hike Capital",China
0,Lazada Group,Malaysia
1,Lighthouse Funds,India
0,"Shanghai Pudong Kechuang Group, E Fund Management Co.,LTD., CPE, Grand Flight Investment",China
3,SoftBank Vision Fund,United Kingdom
1,Advent International,India
1,Gaja Capital,India
5,KT Corp,South Korea
5,STIC Investment,South Korea
6,Planet First Partners,Germany
6,Affinity Partners,Germany
3,Revolution Growth,United States
1,"Dragoneer Investment Group, Steadview Capital",India
3,Intact Ventures,United States
3,Andreessen Horowitz,United States
3,"Apax Digital, New Enterprise Associates",United States
0,Apax Digital,United Kingdom
6,Dawn Capital,Germany
3,SoftBank Vision Fund,United States
0,Zoom,Norway
0,General Atlantic,United Kingdom
3,SVB Capital,United States
0,"Andreessen Horowitz, Accel",France
1,Venture Catalysts,India
3,"Founders Fund, US Innovative Technology Fund",United States
0,CVCC Zhongshi Capital,China
3,"Insight Partners, Tiger Global Management",United States
3,Vector Capital,United States
0,"Avenir Growth Capital, Tiger Global Management",Kenya
3,US Innovative Technology Fund,United States
3,Trilantic Capital Partners,United States
3,Accel,United States
3,Janus Henderson Investors,United States
0,Tencent,China
1,Visa,India
3,Times Bridge,United States
3,Gilead Sciences,United States
1,Jungle Ventures,India
0,CCB International,China
1,"Moore Strategic Ventures, Tribe Capital",India
6,Vitruvian Partners,Germany
3,Spark Capital,United States
0,Apax Digital,United Kingdom
3,Menlo Ventures,United States
3,ICONIQ Growth,United States
3,Meritech Capital Partners,United States
3,"Insight Partners, Tiger Global Management",United States
0,Vitruvian Partners,Romania
3,"Comcast Ventures, Goldman Sachs Investment Partners",United States
3,Stripes,United States
3,"Cox Enterprises, Fox Corporation",United States
3,Haun Ventures,United States
3,"Fifth Wall, Riverwood Capital",United States
5,e&,South Korea
3,Blackstone Accelerates Growth,United States
3,Tencent,United States
3,Redstart Labs,United States
3,"Accel, TCV",United States
3,SoftBank Vision Fund,United States
1,"Alpha Wave Ventures, Tiger Global Management",India
6,"Lakestar, Tiger Global Management",Germany
3,Addition,United States
3,American Express Ventures,United States
1,"Tomales Bay Capital, WestCap",India
0,ShenZhen GTJA Investment Group,China
3,WestCap,United States
1,Beams FinTech Fund,India
3,Deer Park Road,United States
0,KFC Ventures,Singapore
0,Trustbridge Partners,China
0,Tiger Global Management,China
3,General Catalyst,United States
0,China Fellow Partners,Singapore
1,"Beams FinTech Fund, Eurazeo",India
0,Catalyst,Switzerland
1,Flipkart,India
0,Verdane,Norway
3,Andreessen Horowitz,United States
0,"Alibaba Group, Foxconn Technology Group",Japan
0,Eldridge Industries,Canada
5,Korea Development Bank,South Korea
