Cluster,Company,Lead Investors Include,Country
1,Fi.Money,Alpha Wave Global,India
3,Truphone,"Emerson Collective, Minden",United Kingdom
0,Stark Future,Eicher Motors Limited,Spain
0,Viral Nation,Eldridge Industries,Canada
0,Minterest,"Baselayer Capital, Faculty Capital",Estonia
0,One Store,Krafton,South Korea
2,Lime,Uber,United States
1,Captain Fresh,Nekkanti Sea Foods,India
2,Inworld AI,Lightspeed Venture Partners,United States
3,Cleo,Sofina,United Kingdom
0,MX Player,Tencent,South Korea
2,Quora,Andreessen Horowitz,United States
2,C2x,"Galaxy Interactive, Agnitio Capital",United States
0,SEON,IVP,Hungary
3,Envisics,M&G Investments,United Kingdom
1,Porter,"Tiger Global Management, Vitruvian Partners",India
2,Foursquare,The Raine Group,United States
2,TakeOff,Forrestal Capital,United States
2,HackerRank,Susquehanna Growth Equity,United States
2,Deserve Inc.,Visa,United States
2,Tredence,Advent International,United States
2,TuneIn,Innovation Endeavors,United States
3,Atera,General Atlantic,Israel
3,Rossum,General Catalyst,United Kingdom
2,Ocrolus,Fin Capital,United States
0,Top Hat,Georgian,Canada
3,Elwood Technologies,"Dawn Capital, Goldman Sachs",United Kingdom
0,Spenmo,Tiger Global Management,Singapore
2,AppZen,Coatue,United States
2,Sense,SoftBank Vision Fund,United States
0,Cymulate,One Peak,Israel
2,Modernizing Medicine,Warburg Pincus,United States
0,Spryker Systems,TCV,Germany
0,Yokoy,Sequoia Capital,Switzerland
2,NEXT Trucking,Brookfield Growth,United States
2,MainStreet,SignalFire,United States
1,Absolute,Surge,India
0,Juvenescence,"Grok Ventures, IPGL",Isle of Man
2,Zinier,ICONIQ Growth,United States
0,Pixellot,PSG Equity,Israel
2,Cohere Technologies,Bell Ventures,United States
2,Workit Health,Insight Partners,United States
2,Super Coffee,Durable Capital Partners,United States
0,Guardio,Tiger Global Management,Israel
2,Cooler Screens,Translink Capital,United States
0,Boutiqaat,Boubyan Petrochemical Company,Kuwait
0,WayRay,Porsche Ventures,Switzerland
0,Stark Bank,"Bezos Expeditions, Ribbit Capital",Brazil
2,Tiff's Treats,Salem Investment Partners,United States
2,Parallel,Paradigm,United States
0,ActiveFence,"CRV, Highland Europe",Israel
0,Codemao,BPEA EQT,China
0,VisionNav Robotics,"5Y Capital, Meituan",China
2,Bitwise,"Elad Gil, Electric Capital",United States
0,Edianyun,Source Code Capital,China
2,Renovate America,DFJ Growth,United States
2,Pinwheel,GGV Capital,United States
2,Simplilearn,GSV Ventures,United States
0,Kuda,"Target Global, Valar Ventures",Nigeria
0,uberall,"Bregal Milestone, Level Equity Management",Germany
2,AeroFarms,Abu Dhabi Investment Office (ADIO),United States
2,Flip,WestCap,United States
1,Teachmint,"Rocketship.vc, Vulcan Capital",India
2,Homebase,GGV Capital,United States
2,Parallel Finance,Polychain,United States
2,P0x Labs,"Polychain, Qiming Venture Partners",United States
2,Writer,ICONIQ Growth,United States
1,La Renon,A91 Partners,India
0,DataBox,"Gary Hromadko, Founder Collective",China
0,Cosmose,NEAR Protocol,Singapore
2,Cyera,Accel,United States
0,Agicap,Greenoaks,France
2,Ursa Major,Explorer 1 Fund,United States
2,Chia Network,"Andreessen Horowitz, Richmond Global Ventures",United States
2,Overtime,"Counterpoint Global, Liberty Media",United States
2,Vox Media,Penske Media Corporation,United States
0,Rain,"Kleiner Perkins, Paradigm",Bahrain
